Original_faststructure_order	ID	New_Order	Sub_order	Continent	Country
257	Pr_1973	174	N	Europe	Italy
258	Pr_1974	213	R	Europe	Spain
259	Pr_1975	214	R	Europe	Spain
260	Pr_1976	203	P	Europe	France
261	Pr_1977	204	P	Europe	France
262	Pr_1978	205	P	Europe	France
263	Pr_1979	206	P	Europe	France
264	Pr_1980	207	P	Europe	France
265	Pr_1981	175	N	Europe	Italy
266	Pr_1982	215	R	Europe	Spain
267	Pr_1983	176	N	Europe	Italy
268	Pr_1984	216	R	Europe	Spain
269	Pr_1985	217	R	Europe	Spain
270	Pr_1986	218	R	Europe	Spain
271	Pr_1987	219	R	Europe	Spain
272	Pr_1988	220	R	Europe	Spain
273	Pr_1989	177	N	Europe	Italy
274	Pr_199	432	A163	North_America	USA
275	Pr_1990	401	A132	North_America	Mexico
276	Pr_1991	402	A133	North_America	Mexico
277	Pr_1992	403	A134	North_America	Mexico
278	Pr_1993	400	A131	North_America	Mexico
279	Pr_1994	114	G	Europe	Poland
280	Pr_1995	115	G	Europe	Poland
281	Pr_1996	116	G	Europe	Poland
282	Pr_1997	117	G	Europe	Poland
283	Pr_1998	118	G	Europe	Poland
284	Pr_1999	119	G	Europe	Poland
285	Pr_2	366	A097	North_America	USA
286	Pr_200	433	A164	North_America	USA
287	Pr_2000	120	G	Europe	Poland
288	Pr_2001	121	G	Europe	Poland
289	Pr_2002	122	G	Europe	Poland
290	Pr_2003	123	G	Europe	Poland
291	Pr_2004	124	G	Europe	Poland
292	Pr_2005	125	G	Europe	Poland
293	Pr_2006	252	U	Africa	Algeria
294	Pr_2007	46	C	Asia	China
295	Pr_2008	47	C	Asia	China
296	Pr_2010	52	E	Asia	Japan
297	Pr_2011	53	E	Asia	Japan
298	Pr_2012	54	E	Asia	Japan
299	Pr_2013	261	V	Africa	Tunisia
300	Pr_2014	234	T	Africa	Morocco
301	Pr_2015	253	U	Africa	Algeria
302	Pr_2016	254	U	Africa	Algeria
303	Pr_2017	255	U	Africa	Algeria
304	Pr_2018	256	U	Africa	Algeria
305	Pr_2019	262	V	Africa	Tunisia
306	Pr_202	426	A157	North_America	USA
307	Pr_2020	263	V	Africa	Tunisia
308	Pr_2021	264	V	Africa	Tunisia
309	Pr_2022	265	V	Africa	Tunisia
310	Pr_2023	266	V	Africa	Tunisia
311	Pr_2024	267	V	Africa	Tunisia
312	Pr_2025	268	V	Africa	Tunisia
313	Pr_2026	164	MN	Europe	Greece
314	Pr_2027	165	MN	Europe	Greece
315	Pr_2028	235	T	Africa	Morocco
316	Pr_2029	236	T	Africa	Morocco
317	Pr_2030	257	U	Africa	Algeria
318	Pr_2031	178	N	Europe	Italy
319	Pr_2032	237	T	Africa	Morocco
320	Pr_2033	238	T	Africa	Morocco
321	Pr_2034	239	T	Africa	Morocco
322	Pr_2035	240	T	Africa	Morocco
323	Pr_2036	241	T	Africa	Morocco
324	Pr_2037	242	T	Africa	Morocco
325	Pr_2038	243	T	Africa	Morocco
326	Pr_2039	244	T	Africa	Morocco
327	Pr_204	427	A158	North_America	USA
328	Pr_2040	208	P	Europe	France
329	Pr_2041	179	N	Europe	Italy
330	Pr_2042	83	C	Europe	Malta
331	Pr_2043	84	C	Europe	Malta
332	Pr_2044	85	C	Europe	Malta
333	Pr_2045	86	C	Europe	Malta
334	Pr_2046	87	C	Europe	Malta
335	Pr_2047	88	C	Europe	Malta
336	Pr_2048	89	C	Europe	Malta
337	Pr_2049	221	R	Europe	Spain
338	Pr_2050	245	T	Africa	Morocco
339	Pr_2051	90	C	Europe	Malta
340	Pr_2052	91	C	Europe	Malta
341	Pr_2053	92	C	Europe	Malta
342	Pr_2054	96	E	Europe	Romania
343	Pr_2055	209	P	Europe	France
344	Pr_2056	126	H	Europe	Estonia
345	Pr_2057	127	H	Europe	Estonia
346	Pr_2058	128	H	Europe	Estonia
347	Pr_2059	129	H	Europe	Estonia
348	Pr_2060	210	P	Europe	France
349	Pr_2061	222	R	Europe	Spain
350	Pr_2062	97	E	Europe	Romania
351	Pr_2063	98	E	Europe	Romania
352	Pr_2064	269	V	Africa	Tunisia
353	Pr_2065	223	R	Europe	Spain
354	Pr_2066	224	R	Europe	Spain
355	Pr_2067	99	E	Europe	Romania
356	Pr_2068	100	E	Europe	Romania
357	Pr_2069	101	E	Europe	Romania
358	Pr_2070	102	E	Europe	Romania
359	Pr_2071	103	E	Europe	Romania
360	Pr_2072	104	E	Europe	Romania
361	Pr_2073	105	E	Europe	Romania
362	Pr_2074	106	E	Europe	Romania
363	Pr_2075	211	P	Europe	France
364	Pr_2076	489	A220	North_America	USA
365	Pr_2077	398	A129	North_America	Mexico
366	Pr_2078	493	A224	North_America	USA
367	Pr_2079	399	A130	North_America	Mexico
368	Pr_208	424	A155	North_America	USA
369	Pr_2080	494	A225	North_America	USA
370	Pr_2081	490	A221	North_America	USA
371	Pr_2082	488	A219	North_America	USA
372	Pr_2083	491	A222	North_America	USA
373	Pr_2084	492	A223	North_America	USA
374	Pr_2087	336	A067	North_America	USA
375	Pr_2089	55	E	Asia	Russia
376	Pr_209	425	A156	North_America	USA
377	Pr_2090	4	AB	Asia	Russia
378	Pr_2096	1	A	Asia	Russia
379	Pr_2099	2	A	Asia	Russia
380	Pr_2100	3	A	Asia	Russia
381	Pr_2101	5	AB	Asia	Russia
382	Pr_2102	6	AB	Asia	Russia
383	Pr_2103	7	AB	Asia	Russia
384	Pr_2104	8	AB	Asia	Russia
385	Pr_2105	9	AB	Asia	Russia
386	Pr_2106	10	AB	Asia	Russia
387	Pr_2107	11	AB	Asia	Russia
388	Pr_2108	12	AB	Asia	Russia
389	Pr_2109	13	AB	Asia	Russia
390	Pr_2110	14	AB	Asia	Russia
391	Pr_2111	48	D	Asia	South_Korea
392	Pr_2112	49	D	Asia	South_Korea
393	Pr_2117	50	D	Asia	South_Korea
394	Pr_2123	51	D	Asia	South_Korea
395	Pr_221	422	A153	North_America	USA
396	Pr_231	423	A154	North_America	USA
397	Pr_249	420	A151	North_America	USA
398	Pr_250	421	A152	North_America	USA
399	Pr_254	448	A179	North_America	USA
400	Pr_256	407	A138	North_America	USA
401	Pr_257	408	A139	North_America	USA
402	Pr_261	409	A140	North_America	USA
403	Pr_293	322	A053	North_America	Canada
404	Pr_3	367	A098	North_America	USA
405	Pr_301	323	A054	North_America	Canada
406	Pr_312	324	A055	North_America	Canada
407	Pr_347	391	A122	North_America	USA
408	Pr_357	450	A181	North_America	USA
409	Pr_358	451	A182	North_America	USA
410	Pr_359	463	A194	North_America	USA
411	Pr_363	449	A180	North_America	USA
412	Pr_369	452	A183	North_America	USA
413	Pr_370	453	A184	North_America	USA
414	Pr_371	454	A185	North_America	USA
415	Pr_372	455	A186	North_America	USA
416	Pr_373	456	A187	North_America	USA
417	Pr_374	457	A188	North_America	USA
418	Pr_375	458	A189	North_America	USA
419	Pr_377	459	A190	North_America	USA
420	Pr_383	285	A016	North_America	USA
421	Pr_384	286	A017	North_America	USA
422	Pr_386	287	A018	North_America	USA
423	Pr_391	288	A019	North_America	USA
424	Pr_392	466	A197	North_America	USA
425	Pr_4	368	A099	North_America	USA
426	Pr_40	305	A036	North_America	USA
427	Pr_41	306	A037	North_America	USA
428	Pr_43	307	A038	North_America	USA
