INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS	Species	Admix_K7_pops_outgroups_num	Country	IND_ID
Pr_1979	22059	0	203	0.00920259	Pieris_rapae	2	France	Pr_1979_France_K_2
Pr_1980	22059	0	182	0.0082506	Pieris_rapae	2	France	Pr_1980_France_K_2
Pr_1981	22059	0	196	0.00888526	Pieris_rapae	2	Italy	Pr_1981_Italy_K_2
Pr_1982	22059	0	210	0.00951992	Pieris_rapae	2	Spain	Pr_1982_Spain_K_2
Pr_1983	22059	0	228	0.0103359	Pieris_rapae	2	Italy	Pr_1983_Italy_K_2
Pr_1984	22059	0	184	0.00834127	Pieris_rapae	2	Spain	Pr_1984_Spain_K_2
Pr_1985	22059	0	176	0.0079786	Pieris_rapae	2	Spain	Pr_1985_Spain_K_2
Pr_1986	22059	0	201	0.00911193	Pieris_rapae	2	Spain	Pr_1986_Spain_K_2
Pr_1987	22059	0	197	0.0089306	Pieris_rapae	2	Spain	Pr_1987_Spain_K_2
Pr_1988	22059	0	211	0.00956526	Pieris_rapae	2	Spain	Pr_1988_Spain_K_2
